                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.45303,                0.45812,                0.94626,                0.99192,                0.98151,                0.99233,                 0.9531,                 0.2785,                0.22561,                0.78894,              0.0004188,              0.0004188,              0.0004188
                    141,                0.44698,                0.45493,                 0.9495,                0.99071,                0.98536,                0.99312,                0.95017,                0.29058,                0.22988,                0.79158,             0.00041626,             0.00041626,             0.00041626
                    142,                  0.454,                0.46064,                0.94418,                0.99417,                0.98743,                 0.9937,                0.95514,                0.28627,                0.22718,                 0.7908,             0.00041372,             0.00041372,             0.00041372
                    143,                0.44941,                0.46727,                0.94895,                0.99448,                0.98501,                0.99369,                0.95518,                0.27884,                0.22645,                 0.7908,             0.00041118,             0.00041118,             0.00041118
                    144,                0.46479,                 0.4704,                0.95984,                0.99654,                0.98342,                0.99455,                0.95419,                0.28181,                0.22764,                0.79218,             0.00040865,             0.00040865,             0.00040865
                    145,                0.44726,                0.45619,                0.94758,                0.99767,                0.98281,                0.99333,                0.95424,                0.27949,                0.22086,                0.78777,             0.00040611,             0.00040611,             0.00040611
                    146,                0.46185,                0.45301,                0.95426,                0.99588,                0.98666,                0.99458,                0.95609,                0.27437,                0.22099,                0.79189,             0.00040357,             0.00040357,             0.00040357
                    147,                0.44242,                 0.4615,                0.95152,                0.99612,                0.98465,                0.99365,                0.95373,                0.28385,                 0.2236,                0.78902,             0.00040103,             0.00040103,             0.00040103
                    148,                0.44301,                0.45717,                0.94593,                0.99275,                0.98682,                 0.9936,                0.95858,                0.27086,                0.21664,                 0.7854,              0.0003985,              0.0003985,              0.0003985
                    149,                0.45739,                0.46054,                0.95004,                 0.9937,                 0.9861,                0.99242,                0.95709,                0.27125,                0.21873,                0.78308,             0.00039596,             0.00039596,             0.00039596
                    150,                0.44646,                0.45115,                0.95087,                 0.9953,                0.98595,                0.99385,                0.95602,                0.27336,                0.21389,                0.78545,             0.00039342,             0.00039342,             0.00039342
                    151,                 0.4427,                0.45687,                0.94427,                0.99695,                0.98532,                0.99402,                0.95916,                0.27314,                0.22006,                0.78602,             0.00039088,             0.00039088,             0.00039088
